Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,Latin Name (product.metafields.custom.latin_name),Origin (product.metafields.custom.origin_location),Altitude (product.metafields.custom.origin_altitude),Humidity (product.metafields.custom.humidity_min),Temperature (product.metafields.custom.temp_range),Substrate (product.metafields.custom.potting_media),Clone ID (product.metafields.custom.clonotype_code),Growth Rate (product.metafields.custom.growth_speed),Light (product.metafields.custom.lux_requirements)
Drosera capensis 'Typical',drosera-capensis-typical,The quintessential sundew for any conservatory. Known for its vigorous growth and stunning dew-laden tentacles.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Drosera,"Drosera, Easy, South Africa",TRUE,Active,BT-CP-001,,Title,Default Title,,,,,,,,180.0,,,,,,,,,shopify,10.0,DENY,500.0,g,TRUE,manual,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_capensis_bend.JPG,1,,,,,,,,,,,,,,,,,,,,Drosera capensis,"Western Cape, South Africa","0m – 1,000m",50% – 70%,10°C – 32°C,50/50 Peat Moss and Perlite,BT-CP-001,Fast / Vigorous,"15,000 – 20,000 Lux"
,drosera-capensis-typical,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_capensis_macro.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,drosera-capensis-typical,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_capensis_leaf.JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,drosera-capensis-typical,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_capensis_white_flower.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,drosera-capensis-typical,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_capensis_in_habitat.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepenthes edwardsiana (Kinabalu Form),nepenthes-edwardsiana-highland,"A legendary highland species famous for its highly developed, toothy peristome ribs.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Nepenthes, Highland, Rare, Toothy",TRUE,Active,BT-ED-099-H,,Title,Default Title,,,,,,,,8500.0,,,,,,,,,shopify,10.0,DENY,500.0,g,TRUE,manual,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_edwardsiana_pitcher.jpg,1,,,,,,,,,,,,,,,,,,,,Nepenthes edwardsiana,"Mount Kinabalu, Borneo","1,500m – 2,700m",80% – 95%,10°C (Night) – 22°C (Day),Long-fiber Sphagnum / Perlite / Orchid Bark,BT-ED-099-H,Extremely Slow,"10,000 – 12,000 Lux"
,nepenthes-edwardsiana-highland,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_edwardsiana_peristome.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nepenthes-edwardsiana-highland,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_edwardsiana_lower.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nepenthes-edwardsiana-highland,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Edwardsiana_in_situ.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nepenthes-edwardsiana-highland,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_edwardsiana_lid.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
