Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Latin Name (product.metafields.custom.latin_name),Origin (product.metafields.custom.origin_location),Altitude (product.metafields.custom.origin_altitude),Humidity (product.metafields.custom.humidity_min),Temperature (product.metafields.custom.temp_range),Substrate (product.metafields.custom.potting_media),Clone ID (product.metafields.custom.clonotype_code),Growth Rate (product.metafields.custom.growth_speed),Light (product.metafields.custom.lux_requirements),Option1 value,SKU,Price,Inventory tracker,Inventory quantity,Continue selling when out of stock,Fulfillment service,Requires shipping,Charge tax,Weight value (grams),Weight unit for display,Product image URL,Image position
Drosera capensis 'Typical',drosera-capensis,The quintessential Cape Sundew. Perfect for beginners and expert growers alike. Known for its vigorous growth and sticky tentacles.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Drosera,"Coll: Beginners, Level: Easy, Region: South Africa, Status: Verified",TRUE,active,Pot Size,Drosera capensis,South Africa,0-1000m,50%+,15°C - 30°C,Peat/Perlite,BT-CP-001,Vigorous,Full Sun,Seedling (5cm Pot),DROSERA-CAPENSIS-S,18.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_capensis_bend.JPG?width=1024,1
,drosera-capensis,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DROSERA-CAPENSIS-E,26.1,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_capensis_(carnivorous-plant-142084).jpg?width=1024,2
,drosera-capensis,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DROSERA-CAPENSIS-L,45.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_capensis_leaf.jpg?width=1024,3
,drosera-capensis,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_capensis_2.jpg?width=1024,4
,drosera-capensis,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_capensis_Luc_Viatour.jpg?width=1024,5
Nepenthes edwardsiana (Mount Kinabalu),nepenthes-edwardsiana,"A legendary highland pitcher plant famous for its highly developed, toothy peristome ribs.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Rare Species, Level: Expert, Region: Borneo, Status: Verified",TRUE,active,Pot Size,Nepenthes edwardsiana,"Mount Kinabalu, Borneo",1500-2700m,80%+,10°C (Night) - 22°C (Day),Sphagnum/Perlite,BT-ED-099,Extremely Slow,Bright Indirect,Seedling (5cm Pot),NEPENTHES-EDWARDSIANA-S,850.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_edwardsiana_Macfarlane_illustration.jpg?width=1024,1
,nepenthes-edwardsiana,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-EDWARDSIANA-E,1232.5,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_edwardsiana_entire_ASR_052007_tambu.jpg?width=1024,2
,nepenthes-edwardsiana,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-EDWARDSIANA-L,2125.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_edwardsiana_ASR_052007_tambu.jpg?width=1024,3
,nepenthes-edwardsiana,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/N.edwardsiana_IP.jpg?width=1024,4
,nepenthes-edwardsiana,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_edwardsiana_-_Transactions_of_the_Linnean_Society_of_London_(1859).jpg?width=1024,5
Nepenthes burbidgeae,nepenthes-burbidgeae,"Known as the Painted Pitcher, this species boasts cream-colored traps with stunning red mottling.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Tropicals, Level: Intermediate, Region: Borneo, Status: Verified",TRUE,active,Pot Size,Nepenthes burbidgeae,Borneo,1200-1800m,70%+,15°C - 25°C,Long Fiber Sphagnum,BT-BB-042,Moderate,Bright Filtered,Seedling (5cm Pot),NEPENTHES-BURBIDGEAE-S,220.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_burbidgeae.jpg?width=1024,1
,nepenthes-burbidgeae,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-BURBIDGEAE-E,319.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_burbidgeae_066.jpg?width=1024,2
,nepenthes-burbidgeae,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-BURBIDGEAE-L,550.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Pig_Hill_Kinabalu_N._burbidgeae.jpg?width=1024,3
,nepenthes-burbidgeae,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_burbidgeae.png?width=1024,4
,nepenthes-burbidgeae,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Pig_Hill_Kinabalu_N._burbidgeae_site_two_2.jpg?width=1024,5
