URL handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Latin Name (product.metafields.custom.latin_name),Origin (product.metafields.custom.origin_location),Altitude (product.metafields.custom.origin_altitude),Humidity (product.metafields.custom.humidity_min),Temperature (product.metafields.custom.temp_range),Substrate (product.metafields.custom.potting_media),Clone ID (product.metafields.custom.clonotype_code),Growth Rate (product.metafields.custom.growth_speed),Light (product.metafields.custom.lux_requirements),Option1 value,SKU,Price,Inventory tracker,Inventory quantity,Continue selling when out of stock,Fulfillment service,Requires shipping,Charge tax,Weight value (grams),Weight unit for display,Product image URL,Image position
drosera-aliciae,Drosera aliciae (Alice Sundew),"A robust, rosette-forming sundew with wedge-shaped leaves and beautiful pink flowers.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Drosera,"Coll: Beginners, Level: Easy, Region: South Africa, Status: Verified",TRUE,active,Pot Size,Drosera aliciae,South Africa,0-1500m,50%+,10°C - 30°C,Peat/Perlite,BT-DA-002,Fast,Full Sun,Seedling (5cm Pot),DROSERA-ALICIAE-S,22.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_aliciae_1.jpg?width=1024,1.0
drosera-aliciae,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DROSERA-ALICIAE-E,31.9,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_aliciae_flower.jpg?width=1024,2.0
drosera-aliciae,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DROSERA-ALICIAE-L,55.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
nepenthes-rajah,Nepenthes rajah,The King of Nepenthes. Produces massive pitchers capable of catching small mammals.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Rare Species, Level: Expert, Region: Borneo, Status: Verified",TRUE,active,Pot Size,Nepenthes rajah,"Mount Kinabalu, Borneo",1500-2650m,85%+,10°C - 20°C,Sphagnum/Bark,BT-NR-001,Slow,Bright Indirect,Seedling (5cm Pot),NEPENTHES-RAJAH-S,950.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_rajah_pitcher.jpg?width=1024,1.0
nepenthes-rajah,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-RAJAH-E,1377.5,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_rajah_1.jpg?width=1024,2.0
nepenthes-rajah,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-RAJAH-L,2375.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
nepenthes-veitchii,Nepenthes veitchii (Bario Form),"Highly sought after for its wide, colorful peristome and epiphytic growth habit.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Tropicals, Level: Intermediate, Region: Borneo, Status: Verified",TRUE,active,Pot Size,Nepenthes veitchii,Borneo,600-1500m,70%+,15°C - 26°C,Orchid Mix/Sphagnum,BT-NV-005,Moderate,Medium-High,Seedling (5cm Pot),NEPENTHES-VEITCHII-S,320.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_veitchii_1.jpg?width=1024,1.0
nepenthes-veitchii,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-VEITCHII-E,464.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_veitchii_peristome.jpg?width=1024,2.0
nepenthes-veitchii,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-VEITCHII-L,800.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
nepenthes-ampullaria,Nepenthes ampullaria 'Harlequin',Unique detritivorous pitcher plant that forms dense carpets of pitchers on the forest floor.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Tropicals, Level: Easy, Region: SE Asia, Status: Verified",TRUE,active,Pot Size,Nepenthes ampullaria,SE Asia,0-1200m,85%+,22°C - 35°C,Sphagnum/Peat,BT-NA-008,Fast,Filtered Sun,Seedling (5cm Pot),NEPENTHES-AMPULLARIA-S,120.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_ampullaria_1.jpg?width=1024,1.0
nepenthes-ampullaria,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-AMPULLARIA-E,174.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_ampullaria_basal.jpg?width=1024,2.0
nepenthes-ampullaria,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-AMPULLARIA-L,300.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
pinguicula-moranensis,Pinguicula moranensis,"A popular Mexican butterwort with large, succulent leaves and vibrant flowers.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Pinguicula,"Coll: Beginners, Level: Easy, Region: Mexico, Status: Verified",TRUE,active,Pot Size,Pinguicula moranensis,Mexico/Guatemala,800-3200m,50%+,10°C - 28°C,Mineral Mix,BT-PM-003,Moderate,Bright Indirect,Seedling (5cm Pot),PINGUICULA-MORANENSIS-S,28.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_moranensis_1.jpg?width=1024,1.0
